,Train MAE,Train MSE,Train RMSE,Train R2,Test MAE,Test MSE,Test RMSE,Test R2,CV Score Mean,Best Params,Features
51,3541.7606663477386,25410071.20654149,5040.8403274197735,0.7804525341433681,5821.72599928112,76449540.56107892,8743.542792317021,0.42917491536958363,0.40056830292095186,"{'objective': 'regression', 'metric': 'huber', 'verbosity': -1, 'boosting_type': 'gbdt', 'feature_pre_filter': False, 'lambda_l1': 1.161658948484919e-08, 'lambda_l2': 6.571163207428156e-08, 'num_leaves': 11, 'feature_fraction': 0.8999999999999999, 'bagging_fraction': 1.0, 'bagging_freq': 0, 'min_child_samples': 5}","['DS_WS_in(%)', 'FA(mg/L)', 'pH', 'Q_PS_in(m³/d)']"
52,4180.147791649282,34624540.80559509,5884.2621292388985,0.7008379028721108,5856.129848100166,71440257.88659833,8452.23389918892,0.4665776804563605,0.39839623849222516,"{'objective': 'regression', 'metric': 'huber', 'verbosity': -1, 'boosting_type': 'gbdt', 'feature_pre_filter': False, 'lambda_l1': 0.00013194449312775466, 'lambda_l2': 1.1323342574942026e-08, 'num_leaves': 31, 'feature_fraction': 0.8999999999999999, 'bagging_fraction': 0.525608233320274, 'bagging_freq': 7, 'min_child_samples': 20}","['DS_WS_in(%)', 'FA(mg/L)', 'pH', 'Q_WS_in(m³/d)']"
53,3322.0548087918683,22038193.57202893,4694.485442732668,0.8095861474976396,5647.5567793201035,66759227.58313122,8170.632018585296,0.501529486569562,0.3368232798648518,"{'objective': 'regression', 'metric': 'huber', 'verbosity': -1, 'boosting_type': 'gbdt', 'feature_pre_filter': False, 'lambda_l1': 3.0561505643433053e-06, 'lambda_l2': 0.06012007950445084, 'num_leaves': 31, 'feature_fraction': 0.8, 'bagging_fraction': 1.0, 'bagging_freq': 0, 'min_child_samples': 20}","['DS_WS_in(%)', 'FA(mg/L)', 'pH', 'Q_Total(m³/d)']"
54,2407.615981585798,10632954.152264452,3260.8210855955363,0.9081294137381858,5588.708440804054,61043312.717922516,7813.021996508298,0.5442084557658022,0.4202831980754156,"{'objective': 'regression', 'metric': 'huber', 'verbosity': -1, 'boosting_type': 'gbdt', 'feature_pre_filter': False, 'lambda_l1': 1.8467810126027414e-06, 'lambda_l2': 4.369886252087425e-07, 'num_leaves': 31, 'feature_fraction': 0.8, 'bagging_fraction': 0.9817222664736892, 'bagging_freq': 7, 'min_child_samples': 10}","['DS_WS_in(%)', 'FA(mg/L)', 'pH', 'Q_eff(m³/d)']"
55,4107.7526519246885,34117737.50309541,5841.039077347062,0.7052167721734661,6542.150130948443,101054447.45809133,10052.584118429018,0.24545768229361264,0.2847470729610465,"{'objective': 'regression', 'metric': 'huber', 'verbosity': -1, 'boosting_type': 'gbdt', 'feature_pre_filter': False, 'lambda_l1': 0.026111272093054357, 'lambda_l2': 0.07704827259862654, 'num_leaves': 31, 'feature_fraction': 0.8, 'bagging_fraction': 0.8340662326230404, 'bagging_freq': 3, 'min_child_samples': 25}","['DS_WS_in(%)', 'FA(mg/L)', 'T(°C)', 'Q_PS/Q_WS']"
56,4299.698929524427,39073924.809844814,6250.913917967901,0.6623944457556041,6498.365062377346,92078066.63359049,9595.73168828675,0.31248154281932505,0.23860452979154875,"{'objective': 'regression', 'metric': 'huber', 'verbosity': -1, 'boosting_type': 'gbdt', 'feature_pre_filter': False, 'lambda_l1': 0.00013194449312775466, 'lambda_l2': 1.1323342574942026e-08, 'num_leaves': 11, 'feature_fraction': 0.8999999999999999, 'bagging_fraction': 1.0, 'bagging_freq': 0, 'min_child_samples': 10}","['DS_WS_in(%)', 'FA(mg/L)', 'T(°C)', 'Q_PS_in(m³/d)']"
57,4452.600136908056,39180359.47380291,6259.421656495343,0.6614748316167312,6365.174509101907,93768347.68007231,9683.40578929089,0.2998607368036721,0.29469330267474997,"{'objective': 'regression', 'metric': 'huber', 'verbosity': -1, 'boosting_type': 'gbdt', 'feature_pre_filter': False, 'lambda_l1': 0.013421049251066644, 'lambda_l2': 0.02363268578031524, 'num_leaves': 11, 'feature_fraction': 0.8999999999999999, 'bagging_fraction': 0.6447542712629192, 'bagging_freq': 1, 'min_child_samples': 20}","['DS_WS_in(%)', 'FA(mg/L)', 'T(°C)', 'Q_WS_in(m³/d)']"
58,2402.340604687849,11030387.78628748,3321.2027619956416,0.9046955175288164,7142.408393735578,113104660.496002,10635.067489019617,0.15548246692022116,0.17714626404986925,"{'objective': 'regression', 'metric': 'huber', 'verbosity': -1, 'boosting_type': 'gbdt', 'feature_pre_filter': False, 'lambda_l1': 8.53145865210194e-05, 'lambda_l2': 1.1361966183768311e-08, 'num_leaves': 31, 'feature_fraction': 0.8, 'bagging_fraction': 0.9817222664736892, 'bagging_freq': 7, 'min_child_samples': 5}","['DS_WS_in(%)', 'FA(mg/L)', 'T(°C)', 'Q_Total(m³/d)']"
59,3577.4197828681336,23017464.35365814,4797.6519625393985,0.8011250764228451,5984.034698501953,74550399.55547512,8634.257325067114,0.4433552141299505,0.3933585534819163,"{'objective': 'regression', 'metric': 'huber', 'verbosity': -1, 'boosting_type': 'gbdt', 'feature_pre_filter': False, 'lambda_l1': 5.710118759034477e-05, 'lambda_l2': 6.436241242885594e-07, 'num_leaves': 11, 'feature_fraction': 0.8999999999999999, 'bagging_fraction': 0.984456313221842, 'bagging_freq': 7, 'min_child_samples': 5}","['DS_WS_in(%)', 'FA(mg/L)', 'T(°C)', 'Q_eff(m³/d)']"
60,2509.9133109406616,13986945.637605745,3739.9125173733337,0.8791503398455539,5559.840575595737,70334371.3950569,8386.558972251783,0.4748349929986304,0.355800106338101,"{'objective': 'regression', 'metric': 'huber', 'verbosity': -1, 'boosting_type': 'gbdt', 'feature_pre_filter': False, 'lambda_l1': 4.797156019213236, 'lambda_l2': 9.45708503693523, 'num_leaves': 31, 'feature_fraction': 0.8999999999999999, 'bagging_fraction': 1.0, 'bagging_freq': 0, 'min_child_samples': 5}","['VS_WS(%)', 'ALK(mg CaCO3/L)', 'pH', 'Q_PS/Q_WS']"
61,3822.0195961944905,32508749.041548733,5701.644415565454,0.71911871429924,5707.416194283336,72961658.70920111,8541.759696292158,0.4552178508622877,0.41508399465157736,"{'objective': 'regression', 'metric': 'huber', 'verbosity': -1, 'boosting_type': 'gbdt', 'feature_pre_filter': False, 'lambda_l1': 1.2516142522923167e-08, 'lambda_l2': 0.0006293123388975751, 'num_leaves': 11, 'feature_fraction': 0.8999999999999999, 'bagging_fraction': 0.9522193917473345, 'bagging_freq': 7, 'min_child_samples': 10}","['VS_WS(%)', 'ALK(mg CaCO3/L)', 'pH', 'Q_PS_in(m³/d)']"
62,3492.327820350535,27480926.196191963,5242.22530956005,0.7625599843177981,5693.6807206062695,69391498.45223682,8330.155968061872,0.48187513376901225,0.3996095466133763,"{'objective': 'regression', 'metric': 'huber', 'verbosity': -1, 'boosting_type': 'gbdt', 'feature_pre_filter': False, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'num_leaves': 31, 'feature_fraction': 0.8999999999999999, 'bagging_fraction': 0.6579863191033498, 'bagging_freq': 1, 'min_child_samples': 20}","['VS_WS(%)', 'ALK(mg CaCO3/L)', 'pH', 'Q_WS_in(m³/d)']"
63,1993.226518992102,9830025.21330597,3135.287102213443,0.9150668604056279,5741.925306096452,77357770.4885938,8795.326627737813,0.42239344328443285,0.35335542560805544,"{'objective': 'regression', 'metric': 'huber', 'verbosity': -1, 'boosting_type': 'gbdt', 'feature_pre_filter': False, 'lambda_l1': 0.00015354684801660467, 'lambda_l2': 0.002186586949074128, 'num_leaves': 31, 'feature_fraction': 0.8999999999999999, 'bagging_fraction': 0.9817222664736892, 'bagging_freq': 7, 'min_child_samples': 5}","['VS_WS(%)', 'ALK(mg CaCO3/L)', 'pH', 'Q_Total(m³/d)']"
64,2640.7366108550955,13665732.245521395,3696.719119100259,0.8819256798144234,5177.041381373227,58310516.51972438,7636.132301088318,0.5646134001208023,0.5339309824744003,"{'objective': 'regression', 'metric': 'huber', 'verbosity': -1, 'boosting_type': 'gbdt', 'feature_pre_filter': False, 'lambda_l1': 4.6544449278013065e-08, 'lambda_l2': 1.1509499726303425e-08, 'num_leaves': 31, 'feature_fraction': 0.8999999999999999, 'bagging_fraction': 0.9758624475682118, 'bagging_freq': 7, 'min_child_samples': 20}","['VS_WS(%)', 'ALK(mg CaCO3/L)', 'pH', 'Q_eff(m³/d)']"
65,4531.669253261411,44325766.6677843,6657.7598836083225,0.6170176122308886,6005.868514549212,83970987.5242903,9163.568492912043,0.3730145961863949,0.31342731803918317,"{'objective': 'regression', 'metric': 'huber', 'verbosity': -1, 'boosting_type': 'gbdt', 'feature_pre_filter': False, 'lambda_l1': 0.13607520246444538, 'lambda_l2': 0.3435838377437841, 'num_leaves': 11, 'feature_fraction': 0.8999999999999999, 'bagging_fraction': 0.47188117863746926, 'bagging_freq': 1, 'min_child_samples': 20}","['VS_WS(%)', 'ALK(mg CaCO3/L)', 'T(°C)', 'Q_PS/Q_WS']"
66,3881.2307126549103,35669742.33777091,5972.4151176698115,0.6918071785646718,6240.953628398462,81003470.33851923,9000.192794519417,0.3951721295904921,0.25603634799305147,"{'objective': 'regression', 'metric': 'huber', 'verbosity': -1, 'boosting_type': 'gbdt', 'feature_pre_filter': False, 'lambda_l1': 7.162338535748825, 'lambda_l2': 1.4756493047283683, 'num_leaves': 31, 'feature_fraction': 0.8999999999999999, 'bagging_fraction': 0.8934784303614005, 'bagging_freq': 4, 'min_child_samples': 20}","['VS_WS(%)', 'ALK(mg CaCO3/L)', 'T(°C)', 'Q_PS_in(m³/d)']"
67,3932.475292855577,31564979.88449203,5618.271966048994,0.7272730451195373,5853.203827345498,79187121.92059898,8898.714621820332,0.40873424169434813,0.3066465148242659,"{'objective': 'regression', 'metric': 'huber', 'verbosity': -1, 'boosting_type': 'gbdt', 'feature_pre_filter': False, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'num_leaves': 11, 'feature_fraction': 0.852, 'bagging_fraction': 0.6648341639387423, 'bagging_freq': 1, 'min_child_samples': 5}","['VS_WS(%)', 'ALK(mg CaCO3/L)', 'T(°C)', 'Q_WS_in(m³/d)']"
68,4061.6570408397347,34453254.59824468,5869.689480564085,0.7023178457047894,6367.016389525651,89628110.75111948,9467.212406570347,0.3307746059782197,0.2738571992732893,"{'objective': 'regression', 'metric': 'huber', 'verbosity': -1, 'boosting_type': 'gbdt', 'feature_pre_filter': False, 'lambda_l1': 0.005373575450092764, 'lambda_l2': 0.0023759649438441026, 'num_leaves': 11, 'feature_fraction': 0.8999999999999999, 'bagging_fraction': 1.0, 'bagging_freq': 0, 'min_child_samples': 5}","['VS_WS(%)', 'ALK(mg CaCO3/L)', 'T(°C)', 'Q_Total(m³/d)']"
